property_master_id,derived_age_years,derived_area_per_bhk,derived_bathrooms_per_bhk,derived_carpet_efficiency,derived_floor_ratio,derived_locality_price_premium,derived_accessibility_score,derived_amenity_score,derived_hpi_growth,derived_local_price_growth,derived_rent_per_sqft,derived_rental_yield,derived_school_access,derived_hospital_access,derived_metro_access,derived_transit_density,derived_age_years_log1p,derived_area_per_bhk_log1p,derived_locality_price_premium_log1p,derived_amenity_score_log1p,derived_rent_per_sqft_log1p,derived_rental_yield_log1p,derived_school_access_log1p,derived_hospital_access_log1p,derived_metro_access_log1p,derived_city_locality,derived_market_regime
PROP-1325352143E7,9.5,615.0,1.5,0.833,0.143,1.0,1.4,0.0,0.0,1.04,30.0,5.6,0.065,0.074,0.072,0.0,2.3514,6.4232,0.6931,0.0,3.434,1.8871,0.063,0.0714,0.0695,Bengaluru_Kothanur,Declining
PROP-5232983C0EA6,9.5,600.0,0.2,0.833,0.5,1.0,5.5,0.0,8.37,1.24,30.0,25.4545,0.101,0.131,0.085,0.0,2.3514,6.3986,0.6931,0.0,3.434,3.2754,0.0962,0.1231,0.0816,Bengaluru_R T Nagar,Growth
PROP-F6766D1B8C97,9.5,500.0,1.0,0.833,0.5,0.556,30.7,0.0,11.52,2.79,16.67,8.9362,0.399,0.46,0.145,0.0,2.3514,6.2166,0.4421,0.0,2.8719,2.2962,0.3358,0.3784,0.1354,Bengaluru_Hoskote,Growth
PROP-5C68A376A804,9.5,517.5,1.5,0.833,0.5,0.491,18.1,0.0,8.37,1.24,14.72,2.8364,0.306,0.165,0.23,0.0,2.3514,6.2509,0.3994,0.0,2.7549,1.3445,0.267,0.1527,0.207,Bengaluru_Sunkadakatte,Growth
PROP-DA8DA6DA099E,9.5,607.0,2.0,0.833,0.0,0.84,25.1,0.0,4.24,1.83,25.2,11.9333,0.279,0.15,0.212,0.0,2.3514,6.4102,0.6098,0.0,3.2658,2.5598,0.2461,0.1398,0.1923,Bengaluru_Anchepalya,Stable
PROP-E3D40FE4E669,9.5,445.0,1.0,0.833,0.5,0.708,29.4,0.0,0.0,1.83,21.25,3.5652,0.531,0.234,0.146,0.0,2.3514,6.1003,0.5353,0.0,3.1023,1.5185,0.4259,0.2103,0.1363,Bengaluru_Chandapura,Declining
PROP-352AFA866112,9.5,571.43,0.14,0.833,0.5,0.635,16.3,0.0,0.0,1.83,19.05,1.872,0.252,0.148,0.173,0.0,2.3514,6.3499,0.4916,0.0,2.9982,1.055,0.2247,0.138,0.1596,Bengaluru_Devarachikkana Halli,Declining
PROP-4B451A88ECFF,9.5,545.0,1.0,0.833,0.5,1.0,25.9,1.0,8.58,2.03,30.0,1.8667,0.287,0.381,0.124,0.0,2.3514,6.3026,0.6931,0.6931,3.434,1.0532,0.2523,0.3228,0.1169,Bengaluru_Panduranga Nagar,Growth
PROP-B87ABF60E715,9.5,411.11,0.44,0.833,0.5,1.0,25.8,0.0,8.58,2.03,30.0,1.68,0.168,0.661,0.223,0.0,2.3514,6.0213,0.6931,0.0,3.434,0.9858,0.1553,0.5074,0.2013,Bengaluru_Chandra Layout Extension,Growth
PROP-AD156EE899F4,9.5,766.67,1.33,0.833,0.5,0.625,34.3,2.0,4.44,-0.38,18.75,3.6735,0.644,0.209,0.211,1.0,2.3514,6.6434,0.4855,1.0986,2.9832,1.5419,0.4971,0.1898,0.1914,Bengaluru_Anjanapura Township,Stable
